,sentence
1,Ça représentait un serpent boa qui avalait un fauve.
2,Voilà la copie du dessin.
3,"On disait dans le livre :""Les serpents boas avalent leur proie tout entière, sans la mâcher."
4,"Ensuite ils ne peuvent plus bouger et ils dorment pendant les six mois de leur digestion."""
5,"J'ai alors beaucoup réfléchi sur les aventures de la jungle et, à mon tour, j'ai réussi, avec un crayon de couleur, à tracer mon premier dessin."
6,"Mon dessin numéro i. Il était comme ça :

J'ai montré mon chef-d'oeuvre aux grandes personnes et je leur ai demandé si mon dessin leur faisait peur."
7,"Elles m'ont répondu :""Pourquoi un chapeau ferait-il peur ?"""
8,Mon dessin ne représentait pas un chapeau.
9,Il représentait un serpent boa qui digérait un éléphant.
10,"J'ai alors dessiné l'intérieur du serpent boa, afin que les grandes personnes puissent comprendre."
11,Elles ont toujours besoin d'explications.
12,"Mon dessin numéro 2 était comme ça:

Les grandes personnes m'ont conseillé de laisser de côté les dessins de serpents boas ouverts ou fermés, et de m'intéresser plutôt à la géographie, à l'histoire, au calcul et à la grammaire."
13,"C'est ainsi que j'ai abandonné, à l'âge de six ans, une magnifique carrière de peintre."
14,J'avais été découragé par l'insuccès de mon dessin numéro i et de mon dessin numéro 2.
15,"Les grandes personnes ne comprennent jamais rien toutes seules, et c'est fatigant, pour les enfants, de toujours et toujours leur donner des explications."
16,J'ai donc dû choisir un autre métier et j'ai appris à piloter des avions.
17,J'ai volé un peu partout dans le monde.
18,"Et la géographie, c'est exact, m'a beaucoup servi."
19,"Je savais reconnaître, du premier coup d'oeil la Chine de l'Arizona."
20,"C'est très utile, si l'on est égaré pendant la nuit."
21,"J'ai ainsi eu, au cours de ma vie, des tas de contacts avec des tas de gens sérieux."
22,J'ai beaucoup vécu chez les grandes personnes.
23,Je les ai vues de très près.
24,Ça n'a pas trop amélioré mon opinion.
25,"Quand j'en rencontrais une qui me paraissait un peu lucide, je faisais l'expérience sur elle de mon dessin numéro i que j'ai toujours conservé."
26,Je voulais savoir si elle était vraiment compréhensive.
27,"Mais toujours elle me répondait :""C'e§t un chapeau."
28,"""Alors je ne lui parlais ni de serpents boas, ni de forêts vierges, ni d'étoiles."
29,Je me mettais à sa portée.
30,"Je lui parlais de bridge, de golf, de politique et de cravates."
31,Et la grande personne était bien contente de connaître un homme aussi raisonnable.
33,Quelque chose s'était cassée dans mon moteur.
34,"Et comme je n'avais avec moi ni mécanicien, ni passagers, je me préparai à essayer de réussir, tout seul, une réparation difficile."
35,C'était pour moi une question de vie ou de mort.
36,"J'avais à peine de l'eau à boire pour huit jours,

Le premier soir je me suis donc endormi sur le sable à mille milles de toute terre habitée."
37,J'étais bien plus isolé qu'un naufragé sur un radeau au milieu de l'Océan.
38,"Alors vous imaginez ma surprise, au lever du jour, quand une drôle de petite voix m'a réveillé."
39,"Elle disait :

- S'il vous plaît... dessine-moi un mouton !"
40,"- Dessine-moi un mouton...

J'ai sauté sur mes pieds comme si j'avais été frappé par la foudre."
41,J'ai bien frotté mes yeux.
42,J'ai bien regardé.
43,Et j'ai vu un petit bonhomme tout à fait extraordinaire qui me considérait gravement.
44,"Voilà le meilleur portrait que, plus tard, j'ai réussi à faire de lui."
45,"Mais mon dessin, bien sûr, est beaucoup moins ravissant que le modèle."
46,Ce n'est pas ma faute.
47,"J'avais été découragé dans ma carrière de peintre par les grandes personnes, à l'âge de six ans, et je n'avais rien appris à dessiner, sauf les boas fermés et les boas ouverts."
48,je regardai donc cette apparition avec des yeux tout ronds d'étonnement.
49,N'oubliez pas que je me trouvais à mille milles de toute région habitée.
50,"Or mon petit bonhomme ne me semblait ni égaré, ni mort de fatigue, ni mort de faim, ni mort de soif, ni mort de peur."
51,"Il n'avait en rien l'apparence d'un enfant perdu au milieu du désert, à mille milles de toute région habitée."
52,"Quand je réussis enfin à parler, je lui dis :

- Mais... qu'est-ce que tu fais là ?"
53,"Et il me répéta alors, tout doucement, comme une chose très sérieuse :

- S'il vous plaît... dessine-moi un mouton...

Quand le mystère est trop impressionnant, on n'ose pas désobéir."
54,"Aussi absurde que cela me semblât à mille milles de tous les endroits habités et en danger de mort, je sortis de ma poche une feuille de papier et un stylographe."
55,"Mais je me rappelai alors que j'avais surtout étudié la géographie, l'histoire, le calcul et la grammaire et je dis au petit bonhomme (avec un peu de mauvaise humeur) que je ne savais pas dessiner."
56,"Il me répondit :

- ça ne fait rien."
57,Dessine-moi un mouton.
58,"Comme je n'avais jamais dessiné un mouton je refis, pour lui, l'un des deux seuls dessins dont j'étais capable."
59,Celui du boa fermé.
60,"Et je fus stupéfait d'entendre le petit bonhomme me répondre :

- Non !"
61,Non 1 je ne veux pas d'un éléphant dans un boa.
62,"Un boa c'est très dangereux, et un éléphant c'est très encombrant."
63,Chez moi c'est tout petit.
64,J'ai besoin d'un mouton.
65,Dessine-moi un mouton.
66,Alors j'ai dessiné.
67,"Il regarda attentivement, puis

- Non!"
68,Celui-là est déjà très malade.
69,Fais-en un autre.
70,"Je dessinai :

Mon ami sourit gentiment, avec indulgence :

- Tu vois bien... ce n'est pas un mouton, c'est un bélier."
71,"Il a des cornes...

Je refis donc encore mon dessin :

Mais il fut refusé, comme les précédents :

- Celui-là est trop vieux."
72,je veux un mouton qui vive longtemps.
73,"Alors, faute de patience, comme j'avais hâte de commencer le démontage de mon moteur, je griffonnai ce dessin-ci."
74,"Et je lançai :

- ça c'est la caisse."
75,Le mouton que tu veux est dedans.
76,"Mais je fus bien surpris de voir s'illuminer le visage de mon jeune juge :

- C'est tout à fait comme ça que je le

Voulais !"
77,Crois-tu qu'il faille beaucoup d'herbe à ce mouton ?
78,- Pourquoi ?
79,"- Parce que chez moi c'est tout petit...

- Ça suffira sûrement."
